agegp,yearc,st,N_cases
Age 18-49,2002,33F,14
Age 18-49,2002,34,2
Age 18-49,2002,35B,10
Age 18-49,2002,35F,5
Age 18-49,2002,37,1
Age 18-49,2002,38,10
Age 18-49,2002,4,118
Age 18-49,2002,5,15
Age 18-49,2002,6A,48
Age 18-49,2002,6B,44
Age 18-49,2002,6C,6
Age 18-49,2002,7C,3
Age 18-49,2002,7F,48
Age 18-49,2002,8,22
Age 18-49,2002,9A,10
Age 18-49,2002,9N,20
Age 18-49,2002,9V,56
Age 18-49,2002,MISS,108
Age 18-49,2002,NT,11
Age 50-64,2002,1,4
Age 50-64,2002,10A,6
Age 50-64,2002,11A,25
Age 50-64,2002,12F,34
Age 50-64,2002,13,2
Age 50-64,2002,14,47
Age 50-64,2002,15A,4
Age 50-64,2002,15B,10
Age 50-64,2002,15C,5
Age 50-64,2002,16F,17
Age 50-64,2002,17F,2
Age 50-64,2002,18B,2
Age 50-64,2002,18C,20
Age 50-64,2002,19A,28
Age 50-64,2002,19F,18
Age 50-64,2002,20,8
Age 50-64,2002,22F,36
Age 50-64,2002,23A,10
Age 50-64,2002,23F,26
Age 50-64,2002,24F,1
Age 50-64,2002,28A,1
Age 50-64,2002,28F,1
Age 50-64,2002,29,1
Age 50-64,2002,3,64
Age 50-64,2002,31,14
Age 50-64,2002,33F,16
Age 50-64,2002,34,1
Age 50-64,2002,35B,5
Age 50-64,2002,35F,9
Age 50-64,2002,38,7
Age 50-64,2002,4,56
Age 50-64,2002,5,6
Age 50-64,2002,6A,30
Age 50-64,2002,6B,33
Age 50-64,2002,6C,8
Age 50-64,2002,7C,2
Age 50-64,2002,7F,13
Age 50-64,2002,8,14
Age 50-64,2002,9A,7
Age 50-64,2002,9N,16
Age 50-64,2002,9V,46
Age 50-64,2002,MISS,74
Age 50-64,2002,NT,2
Age 65+,2002,1,4
Age 65+,2002,10A,9
Age 65+,2002,10F,1
Age 65+,2002,11A,39
Age 65+,2002,12F,20
Age 65+,2002,13,2
Age 65+,2002,14,91
Age 65+,2002,15A,10
Age 65+,2002,15B,14
Age 65+,2002,15C,5
Age 65+,2002,16,1
Age 65+,2002,16F,21
Age 65+,2002,17F,1
Age 65+,2002,18C,22
Age 65+,2002,19A,52
Age 65+,2002,19F,34
Age 65+,2002,20,8
Age 65+,2002,22F,76
Age 65+,2002,23A,9
Age 65+,2002,23B,4
Age 65+,2002,23F,92
Age 65+,2002,24A,1
Age 65+,2002,24F,1
Age 65+,2002,3,114
Age 65+,2002,31,18
Age 65+,2002,33A,1
Age 65+,2002,33F,15
Age 65+,2002,34,5
Age 65+,2002,35,1
Age 65+,2002,35B,18
Age 65+,2002,35F,4
Age 65+,2002,38,16
Age 65+,2002,4,75
Age 65+,2002,5,2
Age 65+,2002,6A,68
Age 65+,2002,6B,55
Age 65+,2002,6C,19
Age 65+,2002,7C,3
Age 65+,2002,7F,26
Age 65+,2002,8,11
Age 65+,2002,9A,10
Age 65+,2002,9N,11
Age 65+,2002,9V,58
Age 65+,2002,MISS,144
Age 65+,2002,NT,5
Age <2,2003,1,1
Age <2,2003,10A,4
Age <2,2003,11A,1
Age <2,2003,12F,7
Age <2,2003,14,7
Age <2,2003,15B,9
Age <2,2003,15C,12
Age <2,2003,16F,5
Age <2,2003,17F,1
Age <2,2003,18C,5
Age <2,2003,19A,48
Age <2,2003,19F,17
Age <2,2003,21,1
Age <2,2003,22F,10
Age <2,2003,23A,1
Age <2,2003,23B,2
Age <2,2003,23F,10
Age <2,2003,28A,1
Age <2,2003,3,14
Age <2,2003,33F,23
Age <2,2003,34,1
Age <2,2003,35B,6
Age <2,2003,35F,2
Age <2,2003,38,14
Age <2,2003,4,3
Age <2,2003,6A,20
Age <2,2003,6B,9
Age <2,2003,6C,3
Age <2,2003,7F,15
Age <2,2003,8,2
Age <2,2003,9V,1
Age <2,2003,MISS,32
Age <2,2003,NT,4
Age 2-4,2003,10A,1
Age 2-4,2003,11A,3
Age 2-4,2003,12F,4
Age 2-4,2003,14,6
Age 2-4,2003,15A,2
Age 2-4,2003,15B,3
Age 2-4,2003,15C,1
Age 2-4,2003,17F,1
Age 2-4,2003,18C,6
Age 2-4,2003,19A,28
Age 2-4,2003,19F,6
Age 2-4,2003,21,1
Age 2-4,2003,22F,14
Age 2-4,2003,23A,1
Age 2-4,2003,23B,1
Age 2-4,2003,23F,1
Age 2-4,2003,3,14
Age 2-4,2003,33F,4
Age 2-4,2003,35B,4
Age 2-4,2003,35F,1
Age 2-4,2003,38,4
Age 2-4,2003,4,1
Age 2-4,2003,6A,4
Age 2-4,2003,6B,5
Age 2-4,2003,6C,1
Age 2-4,2003,7F,5
Age 2-4,2003,8,1
Age 2-4,2003,9N,1
Age 2-4,2003,9V,4
Age 2-4,2003,MISS,17
Age 5-17,2003,1,9
Age 5-17,2003,11A,3
Age 5-17,2003,12F,4
Age 5-17,2003,14,11
Age 5-17,2003,15B,3
Age 5-17,2003,15C,3
Age 5-17,2003,16F,1
Age 5-17,2003,18C,10
Age 5-17,2003,19A,10
Age 5-17,2003,19F,5
Age 5-17,2003,22F,3
Age 5-17,2003,23A,1
Age 5-17,2003,23F,4
Age 5-17,2003,3,6
Age 5-17,2003,33F,2
Age 5-17,2003,35B,1
Age 5-17,2003,4,16
Age 5-17,2003,5,1
Age 5-17,2003,6A,4
Age 5-17,2003,6B,5
Age 5-17,2003,6C,2
Age 5-17,2003,7F,8
Age 5-17,2003,8,1
Age 5-17,2003,9N,1
Age 5-17,2003,9V,4
Age 5-17,2003,MISS,14
Age 5-17,2003,NT,1
Age 18-49,2003,1,14
Age 18-49,2003,10A,9
Age 18-49,2003,11A,39
Age 18-49,2003,11B,1
Age 18-49,2003,12F,76
Age 18-49,2003,13,10
Age 18-49,2003,14,42
Age 18-49,2003,15A,6
Age 18-49,2003,15B,7
Age 18-49,2003,15C,6
Age 18-49,2003,16F,25
Age 18-49,2003,17F,3
Age 18-49,2003,18A,2
Age 18-49,2003,18B,2
Age 18-49,2003,18C,22
Age 18-49,2003,19A,72
Age 18-49,2003,19F,24
Age 18-49,2003,2,1
Age 18-49,2003,20,10
Age 18-49,2003,21,1
Age 18-49,2003,22F,65
Age 18-49,2003,23A,9
Age 18-49,2003,23B,4
Age 18-49,2003,23F,36
Age 18-49,2003,28F,1
Age 18-49,2003,3,56
Age 18-49,2003,31,12
Age 18-49,2003,33F,25
Age 18-49,2003,34,3
Age 18-49,2003,35B,11
Age 18-49,2003,35F,8
Age 18-49,2003,37,3
Age 18-49,2003,38,7
Age 18-49,2003,4,86
Age 18-49,2003,5,4
Age 18-49,2003,6A,48
Age 18-49,2003,6B,20
Age 18-49,2003,6C,7
Age 18-49,2003,7C,2
Age 18-49,2003,7F,43
Age 18-49,2003,8,33
Age 18-49,2003,9A,1
Age 18-49,2003,9N,27
Age 18-49,2003,9V,47
Age 18-49,2003,MISS,99
Age 18-49,2003,NT,10
Age 50-64,2003,1,10
Age 50-64,2003,10A,8
Age 50-64,2003,10F,1
Age 50-64,2003,11A,27
Age 50-64,2003,12F,30
Age 50-64,2003,13,1
Age 50-64,2003,14,28
Age 50-64,2003,15A,2
Age 50-64,2003,15B,10
Age 50-64,2003,15C,6
Age 50-64,2003,16F,23
Age 50-64,2003,17F,4
Age 50-64,2003,18C,18
Age 50-64,2003,19A,47
Age 50-64,2003,19F,16
Age 50-64,2003,20,4
Age 50-64,2003,22F,39
Age 50-64,2003,23A,9
Age 50-64,2003,23B,5
Age 50-64,2003,23F,17
Age 50-64,2003,28A,1
Age 50-64,2003,29,2
Age 50-64,2003,3,54
Age 50-64,2003,31,14
Age 50-64,2003,33F,19
Age 50-64,2003,34,5
Age 50-64,2003,35B,15
Age 50-64,2003,35F,8
Age 50-64,2003,38,8
Age 50-64,2003,4,53
Age 50-64,2003,41A,1
Age 50-64,2003,5,2
Age 50-64,2003,6A,31
Age 50-64,2003,6B,23
Age 50-64,2003,6C,15
Age 50-64,2003,7C,5
Age 50-64,2003,7F,16
Age 50-64,2003,8,13
Age 50-64,2003,9A,2
Age 50-64,2003,9N,15
Age 50-64,2003,9V,40
Age 50-64,2003,MISS,91
Age 50-64,2003,NT,4
Age 65+,2003,1,6
Age 65+,2003,10A,7
Age 65+,2003,11A,43
Age 65+,2003,12F,33
Age 65+,2003,13,2
Age 65+,2003,14,55
Age 65+,2003,15A,5
Age 65+,2003,15B,20
Age 65+,2003,15C,4
Age 65+,2003,16F,27
Age 65+,2003,17F,9
Age 65+,2003,18A,2
Age 65+,2003,18B,2
Age 65+,2003,18C,12
Age 65+,2003,19A,88
Age 65+,2003,19F,31
Age 65+,2003,20,4
Age 65+,2003,22F,99
Age 65+,2003,23A,22
Age 65+,2003,23B,7
Age 65+,2003,23F,41
Age 65+,2003,29,1
Age 65+,2003,3,108
Age 65+,2003,31,23
Age 65+,2003,33F,39
Age 65+,2003,34,10
Age 65+,2003,35B,22
Age 65+,2003,35F,7
Age 65+,2003,37,1
Age 65+,2003,38,10
Age 65+,2003,4,59
Age 65+,2003,5,1
Age 65+,2003,6A,64
Age 65+,2003,6B,40
Age 65+,2003,6C,26
Age 65+,2003,7C,10
Age 65+,2003,7F,31
Age 65+,2003,8,11
Age 65+,2003,9A,1
Age 65+,2003,9N,19
Age 65+,2003,9V,40
Age 65+,2003,MISS,129
Age 65+,2003,NT,4
Age <2,2004,1,2
Age <2,2004,10A,3
Age <2,2004,11A,1
Age <2,2004,12F,9
Age <2,2004,14,2
Age <2,2004,15A,1
Age <2,2004,15B,2
Age <2,2004,15C,14
Age <2,2004,16F,2
Age <2,2004,17F,3
Age <2,2004,18C,2
Age <2,2004,19A,76
Age <2,2004,19F,10
Age <2,2004,20,3
Age <2,2004,22F,12
Age <2,2004,23A,3
Age <2,2004,23F,3
Age <2,2004,25,1
Age <2,2004,28F,1
Age <2,2004,3,11
Age <2,2004,31,1
Age <2,2004,33F,19
Age <2,2004,35B,12
Age <2,2004,38,6
Age <2,2004,4,3
Age <2,2004,6A,8
Age <2,2004,6B,3
Age <2,2004,6C,6
Age <2,2004,7F,12
Age <2,2004,8,1
Age <2,2004,9V,1
Age <2,2004,MISS,48
Age <2,2004,NT,2
Age 2-4,2004,1,6
Age 2-4,2004,10A,1
Age 2-4,2004,12F,2
Age 2-4,2004,14,1
Age 2-4,2004,15B,6
Age 2-4,2004,15C,8
Age 2-4,2004,16F,1
Age 2-4,2004,17F,1
Age 2-4,2004,18C,9
Age 2-4,2004,19A,37
Age 2-4,2004,19F,10
Age 2-4,2004,22F,9
Age 2-4,2004,23B,3
Age 2-4,2004,3,10
Age 2-4,2004,33F,4
Age 2-4,2004,35B,3
Age 2-4,2004,38,5
Age 2-4,2004,4,2
Age 2-4,2004,5,1
Age 2-4,2004,6B,1
Age 2-4,2004,6C,1
Age 2-4,2004,7C,1
Age 2-4,2004,7F,3
Age 2-4,2004,8,1
Age 2-4,2004,MISS,22
Age 5-17,2004,1,7
Age 5-17,2004,10A,1
Age 5-17,2004,11A,1
Age 5-17,2004,12F,7
Age 5-17,2004,14,3
Age 5-17,2004,15A,1
Age 5-17,2004,15C,5
Age 5-17,2004,16F,2
Age 5-17,2004,17F,1
Age 5-17,2004,18C,6
Age 5-17,2004,19A,12
Age 5-17,2004,19F,7
Age 5-17,2004,22F,9
Age 5-17,2004,23A,3
Age 5-17,2004,23B,2
Age 5-17,2004,23F,4
Age 5-17,2004,3,2
Age 5-17,2004,33F,2
Age 5-17,2004,35F,1
Age 5-17,2004,37,1
Age 5-17,2004,38,2
Age 5-17,2004,4,4
Age 5-17,2004,6A,4
Age 5-17,2004,6B,3
Age 5-17,2004,6C,1
Age 5-17,2004,7C,1
Age 5-17,2004,7F,5
Age 5-17,2004,8,1
Age 5-17,2004,9V,3
Age 5-17,2004,MISS,20
Age 18-49,2004,1,11
Age 18-49,2004,10A,7
Age 18-49,2004,11A,32
Age 18-49,2004,12F,69
Age 18-49,2004,13,5
Age 18-49,2004,14,17
Age 18-49,2004,15A,9
Age 18-49,2004,15B,17
Age 18-49,2004,15C,4
Age 18-49,2004,16F,28
Age 18-49,2004,17F,11
Age 18-49,2004,18A,2
Age 18-49,2004,18C,18
Age 18-49,2004,19A,93
Age 18-49,2004,19F,15
Age 18-49,2004,20,6
Age 18-49,2004,21,1
Age 18-49,2004,22A,1
Age 18-49,2004,22F,50
Age 18-49,2004,23A,11
Age 18-49,2004,23B,2
Age 18-49,2004,23F,21
Age 18-49,2004,28F,1
Age 18-49,2004,3,43
Age 18-49,2004,31,11
Age 18-49,2004,33F,16
Age 18-49,2004,34,7
Age 18-49,2004,35A,2
Age 18-49,2004,35B,15
Age 18-49,2004,35F,9
Age 18-49,2004,37,1
Age 18-49,2004,38,5
Age 18-49,2004,4,71
Age 18-49,2004,5,9
Age 18-49,2004,6A,26
Age 18-49,2004,6B,22
Age 18-49,2004,6C,16
Age 18-49,2004,7C,2
Age 18-49,2004,7F,37
Age 18-49,2004,8,33
Age 18-49,2004,9A,1
Age 18-49,2004,9N,22
Age 18-49,2004,9V,32
Age 18-49,2004,MISS,137
Age 18-49,2004,NT,7
Age 50-64,2004,1,4
Age 50-64,2004,10A,7
Age 50-64,2004,11A,28
Age 50-64,2004,12F,26
Age 50-64,2004,13,3
Age 50-64,2004,14,10
Age 50-64,2004,15A,4
Age 50-64,2004,15B,7
Age 50-64,2004,15C,7
Age 50-64,2004,16F,16
Age 50-64,2004,17F,10
Age 50-64,2004,18A,1
Age 50-64,2004,18C,20
Age 50-64,2004,19A,83
Age 50-64,2004,19F,21
Age 50-64,2004,20,4
Age 50-64,2004,21,1
Age 50-64,2004,22F,78
Age 50-64,2004,23A,11
Age 50-64,2004,23B,5
Age 50-64,2004,23F,18
Age 50-64,2004,24B,1
Age 50-64,2004,28A,1
Age 50-64,2004,3,60
Age 50-64,2004,31,15
Age 50-64,2004,33F,21
Age 50-64,2004,34,4
Age 50-64,2004,35A,1
Age 50-64,2004,35B,14
Age 50-64,2004,35C,2
Age 50-64,2004,35F,7
Age 50-64,2004,38,6
Age 50-64,2004,4,57
Age 50-64,2004,5,3
Age 50-64,2004,6A,31
Age 50-64,2004,6B,18
Age 50-64,2004,6C,8
Age 50-64,2004,7C,3
Age 50-64,2004,7F,43
Age 50-64,2004,8,24
Age 50-64,2004,9N,8
Age 50-64,2004,9V,24
Age 50-64,2004,MISS,112
Age 50-64,2004,NT,6
Age 65+,2004,1,6
Age 65+,2004,10A,7
Age 65+,2004,10F,1
Age 65+,2004,11A,37
Age 65+,2004,12F,25
Age 65+,2004,13,4
Age 65+,2004,14,36
Age 65+,2004,15A,20
Age 65+,2004,15B,13
Age 65+,2004,15C,6
Age 65+,2004,16F,26
Age 65+,2004,17F,10
Age 65+,2004,18C,26
Age 65+,2004,19A,98
Age 65+,2004,19F,18
Age 65+,2004,20,7
Age 65+,2004,22F,89
Age 65+,2004,23A,34
Age 65+,2004,23B,4
Age 65+,2004,23F,35
Age 65+,2004,3,114
Age 65+,2004,31,19
Age 65+,2004,33F,32
Age 65+,2004,34,8
Age 65+,2004,35B,40
Age 65+,2004,35F,15
Age 65+,2004,37,1
Age 65+,2004,38,17
Age 65+,2004,4,49
Age 65+,2004,5,2
Age 65+,2004,6A,56
Age 65+,2004,6B,20
Age 65+,2004,6C,28
Age 65+,2004,7C,8
Age 65+,2004,7F,27
Age 65+,2004,8,17
Age 65+,2004,9N,11
Age 65+,2004,9V,44
Age 65+,2004,MISS,158
Age 65+,2004,NT,3
Age <2,2005,1,4
Age <2,2005,10A,5
Age <2,2005,11A,6
Age <2,2005,12F,7
Age <2,2005,14,1
Age <2,2005,15A,1
Age <2,2005,15B,5
Age <2,2005,15C,11
Age <2,2005,16F,4
Age <2,2005,17F,2
Age <2,2005,18C,2
Age <2,2005,19A,85
Age <2,2005,19F,8
Age <2,2005,21,3
Age <2,2005,22F,12
Age <2,2005,23A,2
Age <2,2005,23B,6
Age <2,2005,23F,2
Age <2,2005,24F,1
Age <2,2005,28A,1
Age <2,2005,3,8
Age <2,2005,31,1
Age <2,2005,33F,21
Age <2,2005,35B,10
Age <2,2005,35F,4
Age <2,2005,38,6
Age <2,2005,4,1
Age <2,2005,5,1
Age <2,2005,6A,3
Age <2,2005,6B,2
Age <2,2005,6C,2
Age <2,2005,7C,2
Age <2,2005,7F,23
Age <2,2005,8,1
Age <2,2005,9N,1
Age <2,2005,9V,1
Age <2,2005,MISS,48
Age <2,2005,NT,1
Age 2-4,2005,1,3
Age 2-4,2005,10A,2
Age 2-4,2005,11A,1
Age 2-4,2005,12F,8
Age 2-4,2005,14,1
Age 2-4,2005,15B,3
Age 2-4,2005,15C,7
Age 2-4,2005,16F,1
Age 2-4,2005,18C,1
Age 2-4,2005,19A,51
Age 2-4,2005,19F,7
Age 2-4,2005,22F,8
Age 2-4,2005,23A,2
Age 2-4,2005,23B,3
Age 2-4,2005,3,5
Age 2-4,2005,33F,3
Age 2-4,2005,34,1
Age 2-4,2005,35B,1
Age 2-4,2005,38,2
Age 2-4,2005,4,4
Age 2-4,2005,6B,2
Age 2-4,2005,6C,1
Age 2-4,2005,7F,10
Age 2-4,2005,9N,1
Age 2-4,2005,MISS,28
Age 5-17,2005,1,13
Age 5-17,2005,10A,1
Age 5-17,2005,11A,1
Age 5-17,2005,12F,6
Age 5-17,2005,14,2
Age 5-17,2005,15B,5
Age 5-17,2005,15C,2
Age 5-17,2005,16F,1
Age 5-17,2005,17F,1
Age 5-17,2005,18C,7
Age 5-17,2005,19A,25
Age 5-17,2005,19F,1
Age 5-17,2005,21,1
Age 5-17,2005,22F,7
Age 5-17,2005,23A,1
Age 5-17,2005,23B,6
Age 5-17,2005,23F,3
Age 5-17,2005,3,6
Age 5-17,2005,31,1
Age 5-17,2005,33F,3
Age 5-17,2005,35B,1
Age 5-17,2005,35F,1
Age 5-17,2005,4,4
Age 5-17,2005,5,1
Age 5-17,2005,6A,2
Age 5-17,2005,6B,1
Age 5-17,2005,7F,11
Age 5-17,2005,8,1
Age 5-17,2005,9V,2
Age 5-17,2005,MISS,29
Age 18-49,2005,1,16
Age 18-49,2005,10A,9
Age 18-49,2005,10F,1
Age 18-49,2005,11A,23
Age 18-49,2005,12F,88
Age 18-49,2005,13,4
Age 18-49,2005,14,13
Age 18-49,2005,15A,16
Age 18-49,2005,15B,12
Age 18-49,2005,15C,8
Age 18-49,2005,16F,28
Age 18-49,2005,17F,9
Age 18-49,2005,18A,4
Age 18-49,2005,18C,15
Age 18-49,2005,19A,135
Age 18-49,2005,19F,29
Age 18-49,2005,20,8
Age 18-49,2005,22F,79
Age 18-49,2005,23A,19
Age 18-49,2005,23B,4
Age 18-49,2005,23F,12
Age 18-49,2005,28A,2
Age 18-49,2005,3,64
Age 18-49,2005,31,13
Age 18-49,2005,33A,2
Age 18-49,2005,33F,31
Age 18-49,2005,34,3
Age 18-49,2005,35A,1
Age 18-49,2005,35B,13
Age 18-49,2005,35F,6
Age 18-49,2005,37,1
Age 18-49,2005,38,12
Age 18-49,2005,4,71
Age 18-49,2005,5,1
Age 18-49,2005,6A,24
Age 18-49,2005,6B,6
Age 18-49,2005,6C,14
Age 18-49,2005,7C,5
Age 18-49,2005,7F,68
Age 18-49,2005,8,25
Age 18-49,2005,9N,35
Age 18-49,2005,9V,22
Age 18-49,2005,MISS,138
Age 18-49,2005,NT,10
Age 50-64,2005,1,8
Age 50-64,2005,10A,12
Age 50-64,2005,11A,28
Age 50-64,2005,12F,52
Age 50-64,2005,13,7
Age 50-64,2005,14,10
Age 50-64,2005,15A,18
Age 50-64,2005,15B,16
Age 50-64,2005,15C,4
Age 50-64,2005,16F,28
Age 50-64,2005,17F,7
Age 50-64,2005,18A,1
Age 50-64,2005,18C,14
Age 50-64,2005,19A,106
Age 50-64,2005,19F,21
Age 50-64,2005,20,11
Age 50-64,2005,22F,95
Age 50-64,2005,23A,20
Age 50-64,2005,23B,8
Age 50-64,2005,23F,17
Age 50-64,2005,29,1
Age 50-64,2005,3,80
Age 50-64,2005,31,12
Age 50-64,2005,33F,26
Age 50-64,2005,34,7
Age 50-64,2005,35B,13
Age 50-64,2005,35C,1
Age 50-64,2005,35F,7
Age 50-64,2005,38,9
Age 50-64,2005,4,40
Age 50-64,2005,5,2
Age 50-64,2005,6A,24
Age 50-64,2005,6B,18
Age 50-64,2005,6C,16
Age 50-64,2005,7C,6
Age 50-64,2005,7F,37
Age 50-64,2005,8,25
Age 50-64,2005,9N,17
Age 50-64,2005,9V,13
Age 50-64,2005,MISS,121
Age 50-64,2005,NT,6
Age 65+,2005,1,8
Age 65+,2005,10A,15
Age 65+,2005,11A,42
Age 65+,2005,12F,25
Age 65+,2005,13,2
Age 65+,2005,14,27
Age 65+,2005,15A,27
Age 65+,2005,15B,11
Age 65+,2005,15C,7
Age 65+,2005,16F,40
Age 65+,2005,17F,8
Age 65+,2005,18A,1
Age 65+,2005,18B,1
Age 65+,2005,18C,7
Age 65+,2005,19A,151
Age 65+,2005,19F,27
Age 65+,2005,20,7
Age 65+,2005,22F,102
Age 65+,2005,23A,38
Age 65+,2005,23B,8
Age 65+,2005,23F,14
Age 65+,2005,24F,1
Age 65+,2005,28A,1
Age 65+,2005,28F,1
Age 65+,2005,3,117
Age 65+,2005,31,11
Age 65+,2005,33F,42
Age 65+,2005,34,4
Age 65+,2005,35B,30
Age 65+,2005,35F,13
Age 65+,2005,37,1
Age 65+,2005,38,20
Age 65+,2005,4,37
Age 65+,2005,6A,38
Age 65+,2005,6B,21
Age 65+,2005,6C,32
Age 65+,2005,7C,12
Age 65+,2005,7F,49
Age 65+,2005,8,17
Age 65+,2005,9N,14
Age 65+,2005,9V,39
Age 65+,2005,MISS,148
Age 65+,2005,NT,9
Age <2,2006,1,4
Age <2,2006,10A,5
Age <2,2006,11A,3
Age <2,2006,12F,6
Age <2,2006,15A,4
Age <2,2006,15B,1
Age <2,2006,15C,10
Age <2,2006,16F,6
Age <2,2006,18B,1
Age <2,2006,18C,1
Age <2,2006,19A,110
Age <2,2006,19F,5
Age <2,2006,20,2
Age <2,2006,21,1
Age <2,2006,22F,16
Age <2,2006,23A,2
Age <2,2006,23B,3
Age <2,2006,27,1
Age <2,2006,3,11
Age <2,2006,33F,12
Age <2,2006,34,1
Age <2,2006,35B,1
Age <2,2006,35F,2
Age <2,2006,38,5
Age <2,2006,6A,4
Age <2,2006,6C,8
Age <2,2006,7C,3
Age <2,2006,7F,16
Age <2,2006,9N,2
Age <2,2006,9V,2
Age <2,2006,MISS,46
Age <2,2006,NT,4
Age 2-4,2006,1,3
Age 2-4,2006,10A,3
Age 2-4,2006,12F,5
Age 2-4,2006,15A,2
Age 2-4,2006,15B,2
Age 2-4,2006,15C,4
Age 2-4,2006,16F,1
Age 2-4,2006,17F,1
Age 2-4,2006,19A,61
Age 2-4,2006,19F,3
Age 2-4,2006,22F,6
Age 2-4,2006,23A,1
Age 2-4,2006,23B,2
Age 2-4,2006,3,9
Age 2-4,2006,31,1
Age 2-4,2006,33F,6
Age 2-4,2006,34,2
Age 2-4,2006,38,3
Age 2-4,2006,4,1
Age 2-4,2006,6A,3
Age 2-4,2006,6B,1
Age 2-4,2006,6C,1
Age 2-4,2006,7F,11
Age 2-4,2006,9N,1
Age 2-4,2006,MISS,18
Age 5-17,2006,1,10
Age 5-17,2006,10A,1
Age 5-17,2006,11A,3
Age 5-17,2006,12F,6
Age 5-17,2006,15A,1
Age 5-17,2006,15B,4
Age 5-17,2006,15C,2
Age 5-17,2006,16F,2
Age 5-17,2006,17F,1
Age 5-17,2006,18C,3
Age 5-17,2006,19A,27
Age 5-17,2006,19F,3
Age 5-17,2006,21,1
Age 5-17,2006,22F,9
Age 5-17,2006,23A,5
Age 5-17,2006,23B,3
Age 5-17,2006,3,3
Age 5-17,2006,31,1
Age 5-17,2006,33F,3
Age 5-17,2006,34,1
Age 5-17,2006,35B,3
Age 5-17,2006,35F,1
Age 5-17,2006,38,2
Age 5-17,2006,4,5
Age 5-17,2006,5,1
Age 5-17,2006,6A,4
Age 5-17,2006,6B,2
Age 5-17,2006,6C,3
Age 5-17,2006,7F,23
Age 5-17,2006,8,3
Age 5-17,2006,9N,2
Age 5-17,2006,9V,1
Age 5-17,2006,MISS,20
Age 5-17,2006,NT,3
Age 18-49,2006,1,23
Age 18-49,2006,10A,12
Age 18-49,2006,11A,22
Age 18-49,2006,12F,61
Age 18-49,2006,13,4
Age 18-49,2006,14,8
Age 18-49,2006,15A,11
Age 18-49,2006,15B,6
Age 18-49,2006,15C,5
Age 18-49,2006,16F,24
Age 18-49,2006,17F,10
Age 18-49,2006,18A,2
Age 18-49,2006,18B,1
Age 18-49,2006,18C,13
Age 18-49,2006,19A,148
Age 18-49,2006,19F,10
Age 18-49,2006,20,10
Age 18-49,2006,21,1
Age 18-49,2006,22A,1
Age 18-49,2006,22F,73
Age 18-49,2006,23A,20
Age 18-49,2006,23B,9
Age 18-49,2006,23F,7
Age 18-49,2006,25F,1
Age 18-49,2006,3,58
Age 18-49,2006,31,17
Age 18-49,2006,33F,31
Age 18-49,2006,34,1
Age 18-49,2006,35B,14
Age 18-49,2006,35F,9
Age 18-49,2006,38,9
Age 18-49,2006,4,58
Age 18-49,2006,6A,26
Age 18-49,2006,6B,3
Age 18-49,2006,6C,20
Age 18-49,2006,7C,4
Age 18-49,2006,7F,112
Age 18-49,2006,8,36
Age 18-49,2006,9N,27
Age 18-49,2006,9V,21
Age 18-49,2006,MISS,113
Age 18-49,2006,NT,7
Age 50-64,2006,1,8
Age 50-64,2006,10A,15
Age 50-64,2006,10F,1
Age 50-64,2006,11A,27
Age 50-64,2006,12F,52
Age 50-64,2006,13,4
Age 50-64,2006,14,4
Age 50-64,2006,15A,21
Age 50-64,2006,15B,8
Age 50-64,2006,15C,9
Age 50-64,2006,16F,27
Age 50-64,2006,17F,11
Age 50-64,2006,18A,1
Age 50-64,2006,18B,2
Age 50-64,2006,18C,6
Age 50-64,2006,19A,123
Age 50-64,2006,19F,15
Age 50-64,2006,20,3
Age 50-64,2006,21,1
Age 50-64,2006,22F,69
Age 50-64,2006,23A,17
Age 50-64,2006,23B,11
Age 50-64,2006,23F,6
Age 50-64,2006,28A,2
Age 50-64,2006,29,1
Age 50-64,2006,3,80
Age 50-64,2006,31,21
Age 50-64,2006,33F,22
Age 50-64,2006,34,9
Age 50-64,2006,35B,18
Age 50-64,2006,35F,14
Age 50-64,2006,38,11
Age 50-64,2006,4,34
Age 50-64,2006,5,3
Age 50-64,2006,6A,25
Age 50-64,2006,6B,11
Age 50-64,2006,6C,29
Age 50-64,2006,7C,9
Age 50-64,2006,7F,80
Age 50-64,2006,8,23
Age 50-64,2006,9A,1
Age 50-64,2006,9N,23
Age 50-64,2006,9V,18
Age 50-64,2006,MISS,118
Age 50-64,2006,NT,6
Age 65+,2006,1,8
Age 65+,2006,10A,13
Age 65+,2006,11A,52
Age 65+,2006,12F,31
Age 65+,2006,13,3
Age 65+,2006,14,20
Age 65+,2006,15A,46
Age 65+,2006,15B,11
Age 65+,2006,15C,9
Age 65+,2006,16F,38
Age 65+,2006,17F,25
Age 65+,2006,18B,1
Age 65+,2006,18C,2
Age 65+,2006,19A,169
Age 65+,2006,19F,21
Age 65+,2006,20,11
Age 65+,2006,21,1
Age 65+,2006,22F,75
Age 65+,2006,23A,54
Age 65+,2006,23B,17
Age 65+,2006,23F,14
Age 65+,2006,28A,4
Age 65+,2006,29,1
Age 65+,2006,3,104
Age 65+,2006,31,26
Age 65+,2006,33F,40
Age 65+,2006,34,10
Age 65+,2006,35B,27
Age 65+,2006,35F,15
Age 65+,2006,37,1
Age 65+,2006,38,14
Age 65+,2006,4,22
Age 65+,2006,6A,38
Age 65+,2006,6B,11
Age 65+,2006,6C,59
